Questions,Answers
What is expected from students regarding the handbook?,"Students must keep a copy, read it, and refer to it for all academic and disciplinary matters."
What is Kepler College’s mission?,To reinvent higher education and create pathways for marginalized African youth to access 21st-century opportunities.
What are the core values of Kepler College?,"Purpose, Innovation, Diversity/Equity/Inclusion, Transparency, and Balance."
What is the purpose of the Kepler College Student Handbook?,"It is designed to help students understand their privileges, rights, and responsibilities while studying at Kepler College."
Who enforces the policies in the Student Handbook?,The Office of Student Affairs.
What is expected from students regarding the handbook?,"Students must keep a copy, read it, and refer to it for all academic and disciplinary matters."
What is Kepler College’s mission?,To reinvent higher education and create pathways for marginalized African youth to access 21st-century opportunities.
What are the core values of Kepler College?,"Purpose, Innovation, Diversity/Equity/Inclusion, Transparency, and Balance."
What is the purpose of the Kepler College Student Handbook?,"It is designed to help students understand their privileges, rights, and responsibilities while studying at Kepler College."
Who enforces the policies in the Student Handbook?,The Office of Student Affairs.
What is expected from students regarding the handbook?,"Students must keep a copy, read it, and refer to it for all academic and disciplinary matters."
What is Kepler College’s mission?,To reinvent higher education and create pathways for marginalized African youth to access 21st-century opportunities.
What are the core values of Kepler College?,"Purpose, Innovation, Diversity/Equity/Inclusion, Transparency, and Balance."
What is the purpose of the Kepler College Student Handbook?,"It is designed to help students understand their privileges, rights, and responsibilities while studying at Kepler College."
Who enforces the policies in the Student Handbook?,The Office of Student Affairs.
What is expected from students regarding the handbook?,"Students must keep a copy, read it, and refer to it for all academic and disciplinary matters."
What is Kepler College’s mission?,To reinvent higher education and create pathways for marginalized African youth to access 21st-century opportunities.
What are the core values of Kepler College?,"Purpose, Innovation, Diversity/Equity/Inclusion, Transparency, and Balance."
What is the purpose of the Kepler College Student Handbook?,"It is designed to help students understand their privileges, rights, and responsibilities while studying at Kepler College."
Who enforces the policies in the Student Handbook?,The Office of Student Affairs.
What is expected from students regarding the handbook?,"Students must keep a copy, read it, and refer to it for all academic and disciplinary matters."
What is Kepler College’s mission?,To reinvent higher education and create pathways for marginalized African youth to access 21st-century opportunities.
What are the core values of Kepler College?,"Purpose, Innovation, Diversity/Equity/Inclusion, Transparency, and Balance."
What is the purpose of the Kepler College Student Handbook?,"It is designed to help students understand their privileges, rights, and responsibilities while studying at Kepler College."
Who enforces the policies in the Student Handbook?,The Office of Student Affairs.
What is expected from students regarding the handbook?,"Students must keep a copy, read it, and refer to it for all academic and disciplinary matters."
What is Kepler College’s mission?,To reinvent higher education and create pathways for marginalized African youth to access 21st-century opportunities.
What are the core values of Kepler College?,"Purpose, Innovation, Diversity/Equity/Inclusion, Transparency, and Balance."
What is the purpose of the Kepler College Student Handbook?,"It is designed to help students understand their privileges, rights, and responsibilities while studying at Kepler College."
Who enforces the policies in the Student Handbook?,The Office of Student Affairs.
What is expected from students regarding the handbook?,"Students must keep a copy, read it, and refer to it for all academic and disciplinary matters."
What is Kepler College’s mission?,To reinvent higher education and create pathways for marginalized African youth to access 21st-century opportunities.
What are the core values of Kepler College?,"Purpose, Innovation, Diversity/Equity/Inclusion, Transparency, and Balance."
What is the purpose of the Kepler College Student Handbook?,"It is designed to help students understand their privileges, rights, and responsibilities while studying at Kepler College."
Who enforces the policies in the Student Handbook?,The Office of Student Affairs.
What is expected from students regarding the handbook?,"Students must keep a copy, read it, and refer to it for all academic and disciplinary matters."
What is Kepler College’s mission?,To reinvent higher education and create pathways for marginalized African youth to access 21st-century opportunities.
What are the core values of Kepler College?,"Purpose, Innovation, Diversity/Equity/Inclusion, Transparency, and Balance."
What is the purpose of the Kepler College Student Handbook?,"It is designed to help students understand their privileges, rights, and responsibilities while studying at Kepler College."
Who enforces the policies in the Student Handbook?,The Office of Student Affairs.
What is expected from students regarding the handbook?,"Students must keep a copy, read it, and refer to it for all academic and disciplinary matters."
What is Kepler College’s mission?,To reinvent higher education and create pathways for marginalized African youth to access 21st-century opportunities.
What are the core values of Kepler College?,"Purpose, Innovation, Diversity/Equity/Inclusion, Transparency, and Balance."
What is the purpose of the Kepler College Student Handbook?,"It is designed to help students understand their privileges, rights, and responsibilities while studying at Kepler College."
Who enforces the policies in the Student Handbook?,The Office of Student Affairs.
What is expected from students regarding the handbook?,"Students must keep a copy, read it, and refer to it for all academic and disciplinary matters."
What is Kepler College’s mission?,To reinvent higher education and create pathways for marginalized African youth to access 21st-century opportunities.
What are the core values of Kepler College?,"Purpose, Innovation, Diversity/Equity/Inclusion, Transparency, and Balance."
What is the purpose of the Kepler College Student Handbook?,"It is designed to help students understand their privileges, rights, and responsibilities while studying at Kepler College."
Who enforces the policies in the Student Handbook?,The Office of Student Affairs.
What is expected from students regarding the handbook?,"Students must keep a copy, read it, and refer to it for all academic and disciplinary matters."
What is Kepler College’s mission?,To reinvent higher education and create pathways for marginalized African youth to access 21st-century opportunities.
What are the core values of Kepler College?,"Purpose, Innovation, Diversity/Equity/Inclusion, Transparency, and Balance."
What is the purpose of the Kepler College Student Handbook?,"It is designed to help students understand their privileges, rights, and responsibilities while studying at Kepler College."
Who enforces the policies in the Student Handbook?,The Office of Student Affairs.
What is expected from students regarding the handbook?,"Students must keep a copy, read it, and refer to it for all academic and disciplinary matters."
What is Kepler College’s mission?,To reinvent higher education and create pathways for marginalized African youth to access 21st-century opportunities.
What are the core values of Kepler College?,"Purpose, Innovation, Diversity/Equity/Inclusion, Transparency, and Balance."
What is the purpose of the Kepler College Student Handbook?,"It is designed to help students understand their privileges, rights, and responsibilities while studying at Kepler College."
Who enforces the policies in the Student Handbook?,The Office of Student Affairs.
What is expected from students regarding the handbook?,"Students must keep a copy, read it, and refer to it for all academic and disciplinary matters."
What is Kepler College’s mission?,To reinvent higher education and create pathways for marginalized African youth to access 21st-century opportunities.
What are the core values of Kepler College?,"Purpose, Innovation, Diversity/Equity/Inclusion, Transparency, and Balance."
What is the purpose of the Kepler College Student Handbook?,"It is designed to help students understand their privileges, rights, and responsibilities while studying at Kepler College."
Who enforces the policies in the Student Handbook?,The Office of Student Affairs.
What is expected from students regarding the handbook?,"Students must keep a copy, read it, and refer to it for all academic and disciplinary matters."
What is Kepler College’s mission?,To reinvent higher education and create pathways for marginalized African youth to access 21st-century opportunities.
What are the core values of Kepler College?,"Purpose, Innovation, Diversity/Equity/Inclusion, Transparency, and Balance."
What is the purpose of the Kepler College Student Handbook?,"It is designed to help students understand their privileges, rights, and responsibilities while studying at Kepler College."
Who enforces the policies in the Student Handbook?,The Office of Student Affairs.
What is expected from students regarding the handbook?,"Students must keep a copy, read it, and refer to it for all academic and disciplinary matters."
What is Kepler College’s mission?,To reinvent higher education and create pathways for marginalized African youth to access 21st-century opportunities.
What are the core values of Kepler College?,"Purpose, Innovation, Diversity/Equity/Inclusion, Transparency, and Balance."
What is the purpose of the Kepler College Student Handbook?,"It is designed to help students understand their privileges, rights, and responsibilities while studying at Kepler College."
Who enforces the policies in the Student Handbook?,The Office of Student Affairs.
What is expected from students regarding the handbook?,"Students must keep a copy, read it, and refer to it for all academic and disciplinary matters."
What is Kepler College’s mission?,To reinvent higher education and create pathways for marginalized African youth to access 21st-century opportunities.
What are the core values of Kepler College?,"Purpose, Innovation, Diversity/Equity/Inclusion, Transparency, and Balance."
What is the purpose of the Kepler College Student Handbook?,"It is designed to help students understand their privileges, rights, and responsibilities while studying at Kepler College."
Who enforces the policies in the Student Handbook?,The Office of Student Affairs.
What is expected from students regarding the handbook?,"Students must keep a copy, read it, and refer to it for all academic and disciplinary matters."
What is Kepler College’s mission?,To reinvent higher education and create pathways for marginalized African youth to access 21st-century opportunities.
What are the core values of Kepler College?,"Purpose, Innovation, Diversity/Equity/Inclusion, Transparency, and Balance."
What is the purpose of the Kepler College Student Handbook?,"It is designed to help students understand their privileges, rights, and responsibilities while studying at Kepler College."
Who enforces the policies in the Student Handbook?,The Office of Student Affairs.
What is expected from students regarding the handbook?,"Students must keep a copy, read it, and refer to it for all academic and disciplinary matters."
What is Kepler College’s mission?,To reinvent higher education and create pathways for marginalized African youth to access 21st-century opportunities.
What are the core values of Kepler College?,"Purpose, Innovation, Diversity/Equity/Inclusion, Transparency, and Balance."
When should students complete registration at Kepler College?,Registration must be completed at least two weeks before the start of the academic year. Late registration may lead to forfeiting admission unless approved by the Registrar.
What documents are required for registration?,"Students need their admission letter, national ID or passport, a notarized high school certificate, and other relevant documents."
What is the annual registration fee at Kepler College?,"The registration fee is 50,000 RWF per academic year and must be paid in advance at the start of Trimester 1."
Is the registration fee refundable?,"No, the registration fee is non-refundable under any circumstances."
What is the penalty for late registration fee payment?,"A penalty of 10,000 RWF is charged for paying the registration fee after the deadline."
Can students register if they havenâ€™t paid the registration fee?,"No, students must pay the registration fee to be allowed into classes or use Kepler facilities."
What happens if a student presents false documents during registration?,Presenting falsified documents leads to automatic dismissal and loss of all academic achievements attained to that date.
What is the minimum attendance required to sit for a final exam?,Students must have at least 85% attendance per module to be eligible for final assessments.
How is tardiness recorded at Kepler College?,Tardiness under 10 minutes is marked as 'T'. Three tardies equal one absence.
What is considered being â€œon timeâ€ at Kepler College?,Students are considered on time if they arrive 5 minutes before the session begins.
Can a student enter class if they arrive more than 10 minutes late?,"No, arriving more than 10 minutes late is marked as absent, and after 20 minutes, students may be denied entry."
What are the consequences of being late to class multiple times?,1st offense: time management discussion. 2nd: Academic Success Plan. 3rd: 3-month probation.
What grading scale does Kepler College use?,"A 0â€“6 scale is used, with 4 being the minimum required to pass a competency."
What happens if a student scores below 4 on a competency?,The student must redo or improve the work through remediation to achieve a passing score.
What is considered plagiarism at Kepler College?,"Plagiarism includes copying others' work, failing to cite properly, or submitting assignments with high similarity (over 20%)."
What is the penalty for plagiarism?,First offense: zero grade + probation. Second offense: dismissal from the program.
What percentage of assignment submissions is required to take the final exam?,Students must have completed at least 90% of assignments to sit for the final exam.
What is the grade appeal period?,Students have 2 weeks from grade release to submit an appeal.
What happens if a student misses the exam without a valid reason?,"The student automatically fails the module and must retake it, incurring a fee of 4,000 RWF per credit."
Can students resubmit failed assignments?,"Yes, students can resubmit within 5 business days. Second and third attempts require meetings or written approval."
When should students complete registration at Kepler College?,Registration must be completed at least two weeks before the start of the academic year. Late registration may lead to forfeiting admission unless approved by the Registrar.
What documents are required for registration?,"Students need their admission letter, national ID or passport, a notarized high school certificate, and other relevant documents."
What is the annual registration fee at Kepler College?,"The registration fee is 50,000 RWF per academic year and must be paid in advance at the start of Trimester 1."
Is the registration fee refundable?,"No, the registration fee is non-refundable under any circumstances."
What is the penalty for late registration fee payment?,"A penalty of 10,000 RWF is charged for paying the registration fee after the deadline."
Can students register if they havenâ€™t paid the registration fee?,"No, students must pay the registration fee to be allowed into classes or use Kepler facilities."
What happens if a student presents false documents during registration?,Presenting falsified documents leads to automatic dismissal and loss of all academic achievements attained to that date.
What is the minimum attendance required to sit for a final exam?,Students must have at least 85% attendance per module to be eligible for final assessments.
How is tardiness recorded at Kepler College?,Tardiness under 10 minutes is marked as 'T'. Three tardies equal one absence.
What is considered being â€œon timeâ€ at Kepler College?,Students are considered on time if they arrive 5 minutes before the session begins.
Can a student enter class if they arrive more than 10 minutes late?,"No, arriving more than 10 minutes late is marked as absent, and after 20 minutes, students may be denied entry."
What are the consequences of being late to class multiple times?,1st offense: time management discussion. 2nd: Academic Success Plan. 3rd: 3-month probation.
What grading scale does Kepler College use?,"A 0â€“6 scale is used, with 4 being the minimum required to pass a competency."
What happens if a student scores below 4 on a competency?,The student must redo or improve the work through remediation to achieve a passing score.
What is considered plagiarism at Kepler College?,"Plagiarism includes copying others' work, failing to cite properly, or submitting assignments with high similarity (over 20%)."
What is the penalty for plagiarism?,First offense: zero grade + probation. Second offense: dismissal from the program.
What percentage of assignment submissions is required to take the final exam?,Students must have completed at least 90% of assignments to sit for the final exam.
What is the grade appeal period?,Students have 2 weeks from grade release to submit an appeal.
What happens if a student misses the exam without a valid reason?,"The student automatically fails the module and must retake it, incurring a fee of 4,000 RWF per credit."
Can students resubmit failed assignments?,"Yes, students can resubmit within 5 business days. Second and third attempts require meetings or written approval."
What is the minimum GPA required to graduate from Kepler College?,A minimum GPA of 2.0 is required to graduate.
How many credits are required for graduation?,"Students must complete all required course credits as outlined in the academic program, typically around 120 credits."
Can students graduate with unpaid financial obligations?,"No, all financial dues must be cleared to be eligible for graduation."
When are graduation ceremonies held at Kepler?,"Graduation ceremonies are held annually, usually between June and July."
Can students appeal if not approved for graduation?,"Yes, students can appeal by submitting a formal request to the Registrar for review."
Are students provided laptops at Kepler College?,"Yes, students are issued laptops to support their learning, and must sign an agreement for their use and care."
What happens if a student damages their Kepler-issued laptop?,Students are responsible for repair or replacement costs for damaged laptops caused by negligence.
Can students install personal software on Kepler laptops?,"No, unauthorized software installation is prohibited to protect system integrity."
What if a student loses their laptop?,Loss of a laptop must be reported immediately. The student may be charged full replacement costs.
Are students allowed to use their personal devices instead of Keplerâ€™s?,"While allowed, all coursework and platform access must still be compatible with Kepler systems."
When is the Kepler Library open?,The library is typically open from 8:00 AM to 8:00 PM on weekdays and 9:00 AM to 1:00 PM on Saturdays.
Can students borrow books from the library?,"Yes, students may borrow books for a period defined by library policy, usually 7â€“14 days."
What is the fine for late book returns?,The fine is 100 RWF per day per book after the due date.
Are food and drinks allowed in the library?,"No, food and drinks are not allowed to maintain cleanliness and preserve materials."
Can students reserve a book online?,"Yes, students may reserve books via the library management system if available."
Does Kepler help students find internships?,"Yes, Keplerâ€™s Career Services team supports students in finding internships aligned with their programs."
When can students start applying for internships?,Students may begin applying in their second year after completing foundational coursework.
Are internships mandatory for graduation?,"Yes, internships are a core part of the curriculum and are required to graduate."
Can students do virtual internships?,"Yes, remote internships are allowed if approved by the Career Services team and meet program goals."
What support is provided for job readiness?,"Resume reviews, mock interviews, job fairs, and mentoring are offered through Career Services."
Does Kepler offer counseling services?,"Yes, free counseling is available to all students for emotional, academic, or personal issues."
Is counseling at Kepler confidential?,"Yes, all counseling sessions are confidential unless thereâ€™s a risk of harm to self or others."
How can a student book a counseling appointment?,Appointments can be booked via email or by visiting the counseling office during office hours.
Are group counseling sessions available?,"Yes, group sessions are occasionally organized to address common student challenges."
Can students request emergency mental health support?,"Yes, students experiencing urgent distress can request immediate support from the Student Affairs team."
